"","class","cty"
"1","compact",18
"2","compact",21
"3","compact",20
"4","compact",21
"5","compact",16
"6","compact",18
"7","compact",18
"8","compact",18
"9","compact",16
"10","compact",20
"11","compact",19
"12","compact",15
"13","compact",17
"14","compact",17
"15","compact",15
"16","midsize",15
"17","midsize",17
"18","midsize",16
"19","suv",14
"20","suv",11
"21","suv",14
"22","suv",13
"23","suv",12
"24","2seater",16
"25","2seater",15
"26","2seater",16
"27","2seater",15
"28","2seater",15
"29","suv",14
"30","suv",11
"31","suv",11
"32","suv",14
"33","midsize",19
"34","midsize",22
"35","midsize",18
"36","midsize",18
"37","midsize",17
"38","minivan",18
"39","minivan",17
"40","minivan",16
"41","minivan",16
"42","minivan",17
"43","minivan",17
"44","minivan",11
"45","minivan",15
"46","minivan",15
"47","minivan",16
"48","minivan",16
"49","pickup",15
"50","pickup",14
"51","pickup",13
"52","pickup",14
"53","pickup",14
"54","pickup",14
"55","pickup",9
"56","pickup",11
"57","pickup",11
"58","suv",13
"59","suv",13
"60","suv",9
"61","suv",13
"62","suv",11
"63","suv",13
"64","suv",11
"65","pickup",12
"66","pickup",9
"67","pickup",13
"68","pickup",13
"69","pickup",12
"70","pickup",9
"71","pickup",11
"72","pickup",11
"73","pickup",13
"74","pickup",11
"75","suv",11
"76","suv",11
"77","suv",12
"78","suv",14
"79","suv",15
"80","suv",14
"81","suv",13
"82","suv",13
"83","suv",13
"84","pickup",14
"85","pickup",14
"86","pickup",13
"87","pickup",13
"88","pickup",13
"89","pickup",11
"90","pickup",13
"91","subcompact",18
"92","subcompact",18
"93","subcompact",17
"94","subcompact",16
"95","subcompact",15
"96","subcompact",15
"97","subcompact",15
"98","subcompact",15
"99","subcompact",14
"100","subcompact",28
"101","subcompact",24
"102","subcompact",25
"103","subcompact",23
"104","subcompact",24
"105","subcompact",26
"106","subcompact",25
"107","subcompact",24
"108","subcompact",21
"109","midsize",18
"110","midsize",18
"111","midsize",21
"112","midsize",21
"113","midsize",18
"114","midsize",18
"115","midsize",19
"116","subcompact",19
"117","subcompact",19
"118","subcompact",20
"119","subcompact",20
"120","subcompact",17
"121","subcompact",16
"122","subcompact",17
"123","suv",17
"124","suv",15
"125","suv",15
"126","suv",14
"127","suv",9
"128","suv",14
"129","suv",13
"130","suv",11
"131","suv",11
"132","suv",12
"133","suv",12
"134","suv",11
"135","suv",11
"136","suv",11
"137","suv",12
"138","suv",14
"139","suv",13
"140","suv",13
"141","suv",13
"142","compact",21
"143","compact",19
"144","midsize",23
"145","midsize",23
"146","midsize",19
"147","midsize",19
"148","midsize",18
"149","midsize",19
"150","midsize",19
"151","suv",14
"152","suv",15
"153","suv",14
"154","suv",12
"155","midsize",18
"156","midsize",16
"157","midsize",17
"158","midsize",18
"159","midsize",16
"160","suv",18
"161","suv",18
"162","suv",20
"163","suv",19
"164","suv",20
"165","suv",18
"166","subcompact",21
"167","subcompact",19
"168","subcompact",19
"169","subcompact",19
"170","compact",20
"171","compact",20
"172","compact",19
"173","compact",20
"174","suv",15
"175","suv",16
"176","suv",15
"177","suv",15
"178","suv",16
"179","suv",14
"180","midsize",21
"181","midsize",21
"182","midsize",21
"183","midsize",21
"184","midsize",18
"185","midsize",18
"186","midsize",19
"187","compact",21
"188","compact",21
"189","compact",21
"190","compact",22
"191","compact",18
"192","compact",18
"193","compact",18
"194","compact",24
"195","compact",24
"196","compact",26
"197","compact",28
"198","compact",26
"199","suv",11
"200","suv",13
"201","pickup",15
"202","pickup",16
"203","pickup",17
"204","pickup",15
"205","pickup",15
"206","pickup",15
"207","pickup",16
"208","compact",21
"209","compact",19
"210","compact",21
"211","compact",22
"212","compact",17
"213","compact",33
"214","compact",21
"215","compact",19
"216","compact",22
"217","compact",21
"218","compact",21
"219","compact",21
"220","compact",16
"221","compact",17
"222","subcompact",35
"223","subcompact",29
"224","subcompact",21
"225","subcompact",19
"226","subcompact",20
"227","subcompact",20
"228","midsize",21
"229","midsize",18
"230","midsize",19
"231","midsize",21
"232","midsize",16
"233","midsize",18
"234","midsize",17
