"","title","grade","time"
"1","타이타닉","10","20.07.08"
"2","너와 파도를 탈 수 있다면","6","20.07.08"
"3","사라진 시간","2","20.07.08"
"4","레알","10","20.07.08"
"5","트론: 새로운 시작","8","20.07.08"
"6","캐롤","2","20.07.08"
"7","그레이트 월","4","20.07.08"
"8","밤쉘: 세상을 바꾼 폭탄선언","7","20.07.08"
"9","#살아있다","8","20.07.08"
"10","사라진 시간","1","20.07.08"
"11","지금 만나러 갑니다","10","20.07.08"
"12","옛날 옛적 서부에서","10","20.07.08"
"13","밤쉘: 세상을 바꾼 폭탄선언","8","20.07.08"
"14","사라진 시간","8","20.07.08"
"15","그레이트 월","1","20.07.08"
"16","매트릭스","10","20.07.08"
"17","태극기 휘날리며","10","20.07.08"
"18","#살아있다","10","20.07.08"
"19","소공녀","8","20.07.08"
"20","너와 파도를 탈 수 있다면","10","20.07.08"
"21","히든 피겨스","10","20.07.08"
"22","결백","4","20.07.08"
"23","로마의 휴일","10","20.07.08"
"24","가타카","9","20.07.08"
"25","듀 데이트","10","20.07.08"
"26","조디악","10","20.07.08"
"27","#살아있다","1","20.07.08"
"28","사라진 시간","10","20.07.08"
"29","사라진 시간","2","20.07.08"
"30","트로이","9","20.07.08"
"31","#살아있다","1","20.07.08"
"32","겨울왕국","10","20.07.08"
"33","#살아있다","1","20.07.08"
"34","모아나","9","20.07.08"
"35","사라진 시간","1","20.07.08"
"36","#살아있다","1","20.07.08"
"37","분홍신","9","20.07.08"
"38","들리나요?","10","20.07.08"
"39","원더","10","20.07.08"
"40","팬텀 스레드","8","20.07.08"
"41","소리꾼","10","20.07.08"
"42","결백","8","20.07.08"
"43","기생충","7","20.07.08"
"44","불한당: 나쁜 놈들의 세상","10","20.07.08"
"45","너와 파도를 탈 수 있다면","10","20.07.08"
"46","진범","8","20.07.08"
"47","흥부: 글로 세상을 바꾼 자","2","20.07.08"
"48","유신의 추억 - 다카키 마사오의 전성시대","10","20.07.08"
"49","세븐데이즈","5","20.07.08"
"50","다크 나이트","10","20.07.08"
"51","용의자X적 헌신","8","20.07.08"
"52","클레멘타인","10","20.07.08"
"53","못","5","20.07.08"
"54","#살아있다","9","20.07.08"
"55","밤쉘: 세상을 바꾼 폭탄선언","10","20.07.08"
"56","에이리언","8","20.07.08"
