"","title","press","time","body","url"
"1","[머니S포토] 트라이애슬론 가혹행위 관련 질의하는 임오경 의원","머니S","15:35","임오경 의원(왼쪽)이 6일 서울 여의도 국회 본관 506호에서 열린 국회 국회 문화체육관광위원회, 고 최숙현 트라이애슬론(철인 3종경기) 선수 가혹행위 및 체육분야 인...","https://v.daum.net/v/20200706153547583"
"2","아르헨티나 채무조정안 수정..협상시한 내달로 연장 제시","연합뉴스","15:35","(서울=연합뉴스) 구정모 기자 = 채무불이행(디폴트) 상태에 처한 아르헨티나 정부가 채권단에 채무조정 수정안을 제시하면서 협상 시한을 종전 이달 24일에서 8월 4일로...","https://v.daum.net/v/20200706153545582"
"3","80세 이상 고령환자도 '인공관절' 수술 가능","이데일리","15:35","고용곤 연세사랑병원장이 환자에게 ‘고령환자 맞춤형 인공관절 수술’에 대해 설명하고 있다.[이데일리 이순용 기자]한국은 이미 고령화 사회에 진입했다. 2050년에는 ...","https://v.daum.net/v/20200706153545581"
"4","[종합] ""페스티벌 출연취소""..AOA, '민아 쇼크' 직격탄→앞으로 어떻게 될까","스포츠조선","15:35","[스포츠조선 백지은 기자] '민아 쇼크'로 AOA가 멈췄다. 2016년 팀을 탈퇴한 권민아가 무차별 폭격을 시작했다. 지민으로부터 10여년 간 괴롭힘을 당한 끝에 팀을 탈퇴...","https://v.daum.net/v/20200706153544580"
"5","""네이마르 바르사행 확신, 그리즈만-뎀벨레 스왑딜 가능성""(西 매체)","스포탈코리아","15:35","[스포탈코리아] 한재현 기자= 네이마르(파리생제르맹)이 FC바르셀로나(이하 바르사) 복귀에 성공할 수 있을까? 스페인 매체 ‘아스’는 지난 5일(현지시간) 보도에서 “...","https://v.daum.net/v/20200706153544579"
"6","열화상 카메라로 본 개문영업 실태","연합뉴스","15:35","(서울=연합뉴스) 김도훈 기자 = 6일 오후 서울 명동의 매장들이 냉방상태에서 개문 영업을 하고 있다. 열화상 카메라로 촬영된 이 사진에서는 높은 온도는 붉은색으로, ...","https://v.daum.net/v/20200706153541578"
"7","열화상 카메라로 본 개문영업 실태","연합뉴스","15:35","(서울=연합뉴스) 김도훈 기자 = 6일 오후 서울 명동의 매장들이 냉방상태에서 개문 영업을 하고 있다. 열화상 카메라로 촬영된 이 사진에서는 높은 온도는 붉은색으로, ...","https://v.daum.net/v/20200706153537577"
"8","열화상 카메라로 본 개문영업 실태","연합뉴스","15:35","(서울=연합뉴스) 김도훈 기자 = 6일 오후 서울 명동의 매장들이 냉방상태에서 개문 영업을 하고 있다. 열화상 카메라로 촬영된 이 사진에서는 높은 온도는 붉은색으로, ...","https://v.daum.net/v/20200706153534576"
"9","""따뜻한 겨울로 오염 더 심화""..새만금호 수질조사 결과 발표","연합뉴스","15:35","(군산=연합뉴스) 정경재 기자 = 겨울철 수온 상승으로 새만금호 수질이 더 악화했다는 전북 지역 환경단체 주장이 제기됐다. 6일 새만금시민생태조사단(이하 조사단)이 ...","https://v.daum.net/v/20200706153531575"
"10","문밖으로 퍼져나가는 냉기","연합뉴스","15:35","(서울=연합뉴스) 김도훈 기자 = 6일 오후 서울 명동의 매장들이 냉방상태에서 개문 영업을 하고 있다. 열화상 카메라로 촬영된 이 사진에서는 높은 온도는 붉은색으로, ...","https://v.daum.net/v/20200706153529574"
"11","임성재, 세계랭킹 22위 유지..디섐보 7위로 3계단 상승","뉴스1","15:35","(서울=뉴스1) 나연준 기자 = 임성재(22·CJ대한통운)가 세계랭킹 22위 자리를 유지했다. 임성재는 6일(한국시간) 발표된 남자골프 세계랭킹에서 랭킹 포인트 4.0213으로...","https://v.daum.net/v/20200706153528573"
"12","김부겸, 당권 도전 직전 '호남' 찾아 구애","데일리안","15:35","더불어민주당 전당대회에 출마하는 김부겸 더불어민주당 전 의원이 7일과 8일 각각 광주와 전북을 방문한다. 김 전 의원은 오는 9일 당사에서 전당대회 출마를 선언할 ...","https://v.daum.net/v/20200706153524572"
"13","문밖으로 퍼져나가는 냉기","연합뉴스","15:35","(서울=연합뉴스) 김도훈 기자 = 6일 오후 서울 명동의 매장들이 냉방상태에서 개문 영업을 하고 있다. 열화상 카메라로 촬영된 이 사진에서는 높은 온도는 붉은색으로, ...","https://v.daum.net/v/20200706153524571"
"14","'당대표 출마' 김부겸, 7일 광주 방문..민주당 심장부 '공략'","뉴스1","15:35","(광주=뉴스1) 박준배 기자 = 더불어민주당 당 대표 선거를 앞두고 김부겸 전 의원이 민주당 심장부 광주를 찾아 지지를 호소한다. 김 전 의원은 7일 오전 광주시의회 브...","https://v.daum.net/v/20200706153522570"
"15","문밖으로 퍼져나가는 냉기","연합뉴스","15:35","(서울=연합뉴스) 김도훈 기자 = 6일 오후 서울 명동의 매장들이 냉방상태에서 개문 영업을 하고 있다. 열화상 카메라로 촬영된 이 사진에서는 높은 온도는 붉은색으로, ...","https://v.daum.net/v/20200706153521569"
"16","7월 1일부터 일과 후 병사 휴대전화 사용 전면 시행","정책브리핑","15:35","“짜장면 시키신 분~” 예전 CF에서 나왔던 광고 카피다. 배를 타고 마라도로 짜장면을 배달하는 내용이다. 통신기술의 발달로 우리나라 어디든지 휴대폰이 잘 터진다는...","https://v.daum.net/v/20200706153520568"
"17","코로나19 피해 극복 농식품 분야 추경 2,905억원 국회 의결","정책브리핑","15:35","□ 농림축산식품부(장관 김현수, 이하 농식품부)는 3일 국회에서 의결된 코로나19 피해를 조기에 극복하기 위한 추가경정예산 중 농업<U+FF65>농촌 분야에 총 2,905억원을 반...","https://v.daum.net/v/20200706153520567"
"18","5대 발전사, 통합환경허가로 대기오염물질 절반 감축","정책브리핑","15:35","▷ 2025년까지 허가조건 이행 위해 총 4조 6천억 원 환경설비 투자▷ 2019년 대비 대기오염물질 배출량 연간 7.4만톤(△45%) 감축 환경부(장관 조명래)는 한국전력 5대 ...","https://v.daum.net/v/20200706153518565"
"19","역사속으로 사라지는 2G 서비스","연합뉴스","15:35","(서울=연합뉴스) 김도훈 기자 = 011과 017 등으로 시작하는 SK텔레콤의 2G 이동통신 서비스의 순차 종료가 시작된 6일 서울 시내의 한 SK텔레콤 매장에 서비스 종료 안...","https://v.daum.net/v/20200706153517564"
