"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY"
"1",201003,"에너지음료",1,24,1000,10,145771,2940,9
"2",201004,"에너지음료",2,193,1000,15,130412,5973,8
"3",201005,"에너지음료",4,374,850,23,143681,8656,12
"4",201006,"에너지음료",4,584,850,28,145035,6325,8
"5",201007,"에너지음료",4,542,850,29,148561,14930,9
"6",201008,"에너지음료",4,511,850,31,153056,30531,9
"7",201009,"에너지음료",4,348,850,27,147804,23150,11
"8",201010,"에너지음료",4,116,850,20,155952,1337,10
"9",201011,"에너지음료",3,238,800,13,154482,0,8
"10",201012,"에너지음료",3,222,800,5,161292,886,8
"11",201101,"에너지음료",1,185,1000,-1,163610,82,10
"12",201102,"에너지음료",1,207,1000,7,149737,5587,11
"13",201103,"에너지음료",1,261,1000,10,169838,919,9
"14",201104,"에너지음료",1,340,1000,17,167577,8244,9
"15",201105,"에너지음료",3,75,1333,23,176452,7345,10
"16",201106,"에너지음료",3,119,1333,27,173664,25001,9
"17",201107,"에너지음료",3,412,1333,29,182676,43058,10
"18",201108,"에너지음료",4,200,1725,29,186850,20554,9
"19",201109,"에너지음료",4,467,1725,26,184270,5373,10
"20",201110,"에너지음료",4,562,1725,20,194286,4146,11
"21",201111,"에너지음료",4,438,1725,16,191703,10027,8
"22",201112,"에너지음료",4,514,1725,5,201541,489,9
"23",201201,"에너지음료",4,386,1725,3,203133,362,11
"24",201202,"에너지음료",5,435,1660,5,186880,377,8
"25",201203,"에너지음료",5,732,1660,11,212945,6556,10
"26",201204,"에너지음료",4,1183,1350,18,209151,17042,9
"27",201205,"에너지음료",6,1428,1633,24,215673,2095,10
"28",201206,"에너지음료",7,1573,1543,28,215525,8865,10
"29",201207,"에너지음료",7,1825,1543,29,203590,25076,9
"30",201208,"에너지음료",7,2425,1543,30,228142,32385,9
"31",201209,"에너지음료",9,2601,1522,25,223581,23569,10
"32",201210,"에너지음료",10,2455,1560,21,233331,11111,10
"33",201211,"에너지음료",11,1774,1555,11,229144,4805,8
"34",201212,"에너지음료",12,1521,1508,2,239129,3706,11
"35",201301,"에너지음료",12,1246,1508,2,240416,2528,9
"36",201302,"에너지음료",12,951,1433,5,217015,6667,9
"37",201303,"에너지음료",16,1593,1569,12,243648,4364,11
"38",201304,"에너지음료",17,1935,1535,15,237340,6727,8
"39",201305,"에너지음료",17,2073,1535,23,245068,17217,10
"40",201306,"에너지음료",17,2169,1594,28,236180,7360,11
"41",201307,"에너지음료",17,2606,1594,29,241687,41344,8
"42",201308,"에너지음료",17,2256,1459,31,240142,22284,10
"43",201309,"에너지음료",17,2254,1488,26,231662,13699,12
"44",201310,"에너지음료",18,1981,1567,21,239981,3011,10
"45",201311,"에너지음료",18,1082,1567,12,232854,2944,9
"46",201312,"에너지음료",17,988,1541,5,240458,202,10
"47",200901,"일반탄산음료",29,2213,1169,4,126753,151,12
"48",200902,"일반탄산음료",28,2239,1200,9,113399,3014,8
"49",200903,"일반탄산음료",31,2767,1194,12,129162,1383,9
