,이미지,설명,가격
0,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/04/29/16/0/5762a932-742f-4c46-929f-5a03f81e91fb.jpg,"LG전자 울트라PC 노트북 15UD50N-GX50K 화이트 (i5-10210U 39.6cm) + 노트북 가방 + 키스킨 + 액정보호필름 + 마우스패드 + HDMI + 무선마우스, NVMe 256GB, 8GB, Free DOS","844,200"
1,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/03/06/3744495963/5cb39bf7-f18c-4836-a136-d9eac8455b67.jpg,"LG전자 울트라 PC 노트북 15UD480-GX3DK (i3-8130U 39.6cm), SSD 128GB, 4GB, Free DOS","598,000"
2,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/05/11/6/8b3e2c83-e603-45aa-b88a-a89b6442deba.jpg,"HP 노트북 14s-dq1091TU (i3-1005G1 35.6cm WIN미포함), 미포함, SSD 256GB, 4GB","425,960"
3,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/09/14/4/0ae8bc0f-2c6a-43cb-b609-9a01c158d2ec.jpg,"HP 파빌리온 노트북 15-cs3012tx (i5-1035G1 39.62cm WIN10 Home MX250), 포함, NVMe 256GB, 8GB","818,990"
4,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/01/11/9/df0289e9-a589-4e0c-a443-40337ac91a1a.jpg,"한성컴퓨터 노트북 언더케이지 TFX4450H (라이젠5-4600H 35.56cm), 미포함, NVMe 250GB, 8GB","723,100"
5,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/09/15/5/33d14e82-d06b-42ba-9ef0-127d1ded2abb.jpg,"HP 노트북 14s-dk0138au (라이젠5-3500U 35.6cm WIN10 Home Vega8), 포함, NVMe 256GB, 8GB","589,000"
6,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/06/15/6/da439bf0-4ef3-4b2f-afd2-f37651d76c0f.jpg,"레노버 아이디어패드 노트북 Platinum Grey S150-11 81VT (Intel Celeron N4020 29.5cm WIN10 Home S), 포함, eMMC 64GB, 4GB","279,000"
7,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/27/12/7/64765dcf-45b7-4ca7-be97-b154ef5cd930.jpg,"HP 노트북 15s-fq1075TU (i3-1005G1 39.6cm WIN미포함 UHD Graphics), 미포함, NVMe 256GB, 4GB","459,000"
8,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/10/23/14/9/beb3e89a-0431-4bbc-88de-45ca663a5182.jpg,"HP 파빌리온 13-an1009TU (i5-1035G1 33.78cm WIN미포함 DDR4 8G SSD256GB), 트랜퀼 핑크","649,000"
9,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/12/06/11/8/03ab0c9c-682e-454b-8697-1fa59ae0a106.jpg,"Apple 2019년 맥북 프로 터치바 16, 스페이스 그레이, i9-2.3GHz 8-core, SSD 1TB, 16GB","3,321,000"
